student_id,student_name,age,gender,country,course_id,course_name,category,price_inr,enrollment_date,device_used,payment_method,time_spent_hours,completion_pct,completion_status,certificate_issued,num_quizzes_taken,quiz_avg_score,rating,dropout_flag,last_login_date
STU00674,Jon Clark,30.0,Male,India,CRS147,Digital Marketing Masterclass Advanced,Digital Marketing,2019.88,2026-03-17,Mobile,Net Banking,9.0,25.5,In Progress,No,2,95.8,3.1,No,2026-05-10
STU00204,Carlos King,34.0,Male,USA,CRS136,Personal Development Masterclass Advanced,Personal Development,1971.11,2025-03-20,Desktop,Debit Card,11.8,58.3,In Progress,No,3,84.4,3.8,No,2026-07-02
STU00308,Katie Martinez,28.0,Male,Canada,CRS106,Digital Marketing Masterclass Advanced,digital marketing,2606.16,2026-07-11,Mobile,UPI,33.3,100.0,Completed,Yes,3,83.5,4.6,No,2026-08-24
STU01333,Kevin Gibson,34.0,Female,,CRS177,Personal Development Masterclass Beginner,Personal Development,578.88,2025-05-01,Desktop,Wallet,17.0,50.3,In Progress,No,9,89.7,3.8,No,2026-07-17
STU00492,Miss Anna Estes,25.0,Female,India,CRS135,Digital Marketing Masterclass Beginner,digital marketing,1475.59,2025-08-04,Mobile,Debit Card,3.1,15.5,In Progress,No,1,44.7,3.5,No,2026-07-21
STU00142,Bobby Williams MD,15.0,Female,India,CRS148,Business & Finance Masterclass Advanced,Business & Finance,3533.07,2026-07-19,Mobile,Net Banking,36.0,90.5,In Progress,No,10,82.6,4.0,No,2026-08-18
STU00723,Matthew House,22.0,Female,India,CRS197,Web Development Masterclass Advanced,Web Dev,3736.89,2026-04-28,Tablet,Debit Card,6.6,18.1,In Progress,No,2,71.5,1.9,No,2026-08-20
STU00305,Steven Wallace,19.0,Male,Philippines,CRS136,Web Development Masterclass Bootcamp,Web Dev,4878.69,2025-05-21,Desktop,Net Banking,12.5,40.6,In Progress,No,7,73.2,4.0,No,2026-07-08
STU00457,Karen Morales DDS,35.0,Male,Germany,CRS182,Web Development Masterclass Advanced,web dev,2501.1,2026-04-30,Tablet,UPI,4.6,19.8,In Progress,No,1,63.1,3.0,No,2026-05-10
STU01395,Bailey Lewis,39.0,Male,India,CRS154,Business & Finance Masterclass Advanced,Business and Finance,2106.69,2025-05-24,Desktop,UPI,12.5,56.5,In Progress,No,4,86.6,3.4,No,2026-04-28
STU00529,Carla Benton,32.0,Female,India,CRS119,Digital Marketing Masterclass Beginner,Digital Marketing,1811.87,2025-05-19,Desktop,Credit Card,12.7,57.5,In Progress,No,3,70.1,3.9,No,2026-04-28
STU00821,Kevin Johnson,38.0,Other,UK,CRS165,Personal Development Masterclass Bootcamp,Personal Development,547.79,2026-07-28,Desktop,UPI,36.3,98.6,Completed,Yes,9,93.3,4.3,No,2026-08-20
STU00390,Edwin Nunez,22.0,Female,India,CRS133,Business & Finance Masterclass Beginner,Business and Finance,1866.91,2025-07-12,Tablet,UPI,4.6,35.5,In Progress,No,2,45.3,3.6,No,2025-07-13
STU00997,Aaron Jennings,28.0,Other,Germany,CRS188,Personal Development Masterclass Intermediate,Personal Development,1851.3,2025-08-25,Mobile,Credit Card,31.7,100.0,Completed,Yes,11,100.0,5.0,No,2026-03-10
STU00658,Madeline Powell,28.0,Male,Australia,CRS107,IT & Software Masterclass Advanced,IT and Software,4795.21,2026-04-17,Mobile,Credit Card,1.9,13.4,In Progress,No,0,,2.7,No,2026-04-30
STU00043,Kristi Higgins MD,23.0,Other,Philippines,CRS133,IT & Software Masterclass Bootcamp,IT & Software,3302.18,2025-10-23,Mobile,Credit Card,15.6,61.0,In Progress,No,4,83.4,4.1,No,2026-09-03
STU00087,Ryan Bryant,35.0,Female,Germany,CRS186,Web Development Masterclass Beginner,Web Development,2727.34,2025-12-11,Desktop,Credit Card,5.6,28.5,In Progress,No,3,74.5,2.9,No,2025-12-25
